index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,sentence,type,cluster,foundation,identity,id
3486_Q9,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,Non-moral,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me Firstname mommy and daddy my whole family can do it,peripheral,0,harm pos,child,5
3486_Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loyalty/betrayal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loyalty/betrayal,,,,Authority/subversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me Firstname mommy and daddy my whole family can do it,peripheral,0,harm pos,child,5
3487_Q9,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they need some mommy and dad and friend,peripheral,0,harm pos,child,6
3487_Q10,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,"Care/harm,Authority/subversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they need some mommy and dad and friend,peripheral,0,harm pos,child,6
3488_Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,Non-moral,,,,,,,,,,,,,,maybe those men be work mother,peripheral,0,harm pos,child,7
3488_Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purity/degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe those men be work mother,peripheral,0,harm pos,child,7
3489_Q9,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe his daddy or his mommy will take care of Dan,peripheral,0,harm pos,child,8
3489_Q10,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe his daddy or his mommy will take care of Dan,peripheral,0,harm pos,child,8
3490_Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sometimes the boy like to be the mother,peripheral,0,harm pos,child,9
3490_Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairness/cheating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Care/harm,Authority/subversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Care/harm,Fairness/cheating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sometimes the boy like to be the mother,peripheral,0,harm pos,child,9
3491_Q9,,,,,Moral,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,him helping Mommy,peripheral,0,harm pos,child,10
3491_Q10,,,,,"Fairness/cheating,Loyalty/betrayal",,,,,,,,,,,,,,,,,,,"Care/harm,Loyalty/betrayal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,him helping Mommy,peripheral,0,harm pos,child,10
3492_Q9,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,man helping you Mommy,peripheral,0,harm pos,child,11
3492_Q10,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,Purity/degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,"Care/harm,Loyalty/betrayal",,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,man helping you Mommy,peripheral,0,harm pos,child,11
3493_Q9,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I think he wa trying to get his because he wa trying to look for his mommy,peripheral,0,harm pos,child,12
3493_Q10,,,Loyalty/betrayal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Care/harm,Loyalty/betrayal",,,,,,,,,"Care/harm,Loyalty/betrayal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I think he wa trying to get his because he wa trying to look for his mommy,peripheral,0,harm pos,child,12
3494_Q9,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,Moral,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,so his mom and dad helped her,peripheral,0,harm pos,child,13
3494_Q10,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,"Care/harm,Loyalty/betrayal",,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,Care/harm,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,so his mom and dad helped her,peripheral,0,harm pos,child,13
3495_Q9,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,Moral,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,he want to go see his mommy and daddy,peripheral,0,harm pos,child,14
3495_Q10,,,,,,Authority/subversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"None of these, but still moral",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Care/harm,Loyalty/betrayal,Authority/subversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loyalty/betrayal,,,,,,,,,,,,,,"Care/harm,Loyalty/betrayal",,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,he want to go see his mommy and daddy,peripheral,0,harm pos,child,14
3496_Q9,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,and you try to help me,central,1,harm pos,child,15
3496_Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairness/cheating,Purity/degradation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,and you try to help me,central,1,harm pos,child,15
3497_Q9,,,,,,,,,,,,Moral,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,Moral,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I help him,central,1,harm pos,child,16
3497_Q10,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loyalty/betrayal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,Care/harm,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I help him,central,1,harm pos,child,16
3498_Q9,,,,,,,,,,,,,,Moral,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,help when you put it on,central,1,harm pos,child,17
3498_Q10,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,help when you put it on,central,1,harm pos,child,17
3499_Q9,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,Moral,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,help talk,central,1,harm pos,child,18
3499_Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Care/harm,,,,,,,,,,,,,,,,,,,,,help talk,central,1,harm pos,child,18
3500_Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,Moral,,,,,,,,,,,,,I'll bring it down if you help me,central,1,harm pos,child,19
3500_Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairness/cheating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Authority/subversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairness/cheating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Care/harm,Loyalty/betrayal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairness/cheating,,,,,,,,Authority/subversion,,,,,,,,,,,,,I'll bring it down if you help me,central,1,harm pos,child,19
3501_Q9,,,,,,,Non-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral,,,,,,,,Moral,,,,,,,,,,,,,,,,,,,,,the garbage man helped u because he picked it up,central,1,harm pos,child,20
